record_id,train_number,section_id,from_station,to_station,distance_km,max_speed_kmh,actual_speed_kmh,scheduled_travel_min,actual_travel_min,scheduled_dwell_min,actual_dwell_min,weather_condition,prev_delay_min,recovered_delay_min,current_delay_min,math_baseline_min,section_residual_min,timestamp
37,12303,2,BWN,DGR,63.0,110.0,102.4,45.0,37.51,2,2.6,Clear,9.4,2.9,0.0,36.91,0.6,2026-01-01 15:10:00
38,13009,2,BWN,DGR,63.0,110.0,106.2,45.0,36.99,2,3.4,Clear,23.5,4.5,12.4,35.59,1.4,2026-01-01 15:19:00
39,12303,1,HWH,BWN,95.0,130.0,121.7,60.0,51.64,3,7.8,Clear,10.3,0.0,6.7,46.84,4.8,2026-01-01 15:36:00
40,12305,1,HWH,BWN,95.0,130.0,120.6,60.0,52.16,3,7.9,Rain,6.3,1.0,2.4,47.26,4.9,2026-01-01 15:48:00
41,12303,2,BWN,DGR,63.0,110.0,76.9,45.0,51.35,2,4.2,Fog,15.5,0.0,24.1,49.15,2.2,2026-01-01 16:05:00
42,12313,2,BWN,DGR,63.0,110.0,107.6,45.0,35.93,2,2.8,Rain,1.7,0.5,0.0,35.13,0.8,2026-01-01 16:25:00
43,12305,2,BWN,DGR,63.0,110.0,69.5,45.0,58.09,2,5.7,Fog,23.6,0.0,40.4,54.39,3.7,2026-01-01 16:34:00
44,12303,3,DGR,ASN,42.0,110.0,97.7,30.0,26.99,3,4.2,Clear,19.5,1.6,16.1,25.79,1.2,2026-01-01 16:46:00
45,13009,1,HWH,BWN,95.0,130.0,110.1,60.0,53.47,3,4.7,Clear,19.9,3.2,11.9,51.77,1.7,2026-01-01 17:09:00
46,12303,2,BWN,DGR,63.0,110.0,96.6,45.0,41.73,2,4.6,Clear,5.1,1.2,3.2,39.13,2.6,2026-01-01 17:19:00
47,12305,2,BWN,DGR,63.0,110.0,105.4,45.0,38.26,2,4.4,Clear,27.9,1.8,21.8,35.86,2.4,2026-01-01 17:36:00
48,13009,1,HWH,BWN,95.0,130.0,118.2,60.0,48.32,3,3.1,Rain,29.0,2.6,14.8,48.22,0.1,2026-01-01 17:51:00
49,12301,3,DGR,ASN,42.0,110.0,85.5,30.0,32.07,3,5.6,Clear,4.0,0.0,8.7,29.47,2.6,2026-01-01 18:09:00
50,12313,2,BWN,DGR,63.0,110.0,104.9,45.0,39.33,2,5.3,Clear,0.0,0.0,0.0,36.03,3.3,2026-01-01 18:22:00
